material_id,formula,A,formation_energy_eV_atom,hull_eV_atom,band_gap_eV_audit_only,nsites_audit_only,source,Sn_fraction,O_fraction,A_fraction,entropy,mean_Z,std_Z,A_weighted_Z,mean_atomic_mass,std_atomic_mass,A_weighted_atomic_mass,mean_X,std_X,A_weighted_X,mean_atomic_radius,std_atomic_radius,A_weighted_atomic_radius,mean_row,std_row,A_weighted_row,mean_group,std_group,A_weighted_group,mean_mendeleev_no,std_mendeleev_no,A_weighted_mendeleev_no,mean_electron_affinity,std_electron_affinity,A_weighted_electron_affinity,mean_ionization_energy,std_ionization_energy,A_weighted_ionization_energy,struct_volume_per_atom,struct_density,struct_axis_ratio_mid,struct_axis_ratio_long,struct_angle_deviation
mp-1044704,Ca(SnO2)2,Ca,-2.18394718,0.206364254,0,14,Materials_Project,0.285714286,0.571428571,0.142857143,0.955699891,21.71428571,18.34365819,2.857142857,48.78508571,44.96729823,5.725428571,2.668571429,0.938744276,0.142857143,1.014285714,0.490418397,0.257142857,3.142857143,1.355261854,0.571428571,13.42857143,4.746642207,0.285714286,83.71428571,28.73879551,2.285714286,1.156163331,0.486446595,0.003507286,10.75331592,3.329650289,0.873307924,16.03212806,5.05294995,1.00000002,1.00000002,32.10702097
mp-1044828,Ca(SnO2)2,Ca,-2.200505758,0.189805676,0.7145,42,Materials_Project,0.285714286,0.571428571,0.142857143,0.955699891,21.71428571,18.34365819,2.857142857,48.78508571,44.96729823,5.725428571,2.668571429,0.938744276,0.142857143,1.014285714,0.490418397,0.257142857,3.142857143,1.355261854,0.571428571,13.42857143,4.746642207,0.285714286,83.71428571,28.73879551,2.285714286,1.156163331,0.486446595,0.003507286,10.75331592,3.329650289,0.873307924,16.11133519,5.028108456,1,2.448844827,11.33505294
mp-1044829,Sn2P2O9,P,-2.370863385,0.058972151,2.2294,52,Materials_Project,0.153846154,0.692307692,0.153846154,0.830517825,15.53846154,14.90284116,2.307692308,34.10477877,36.4648789,4.765194154,3.02,0.633221313,0.336923077,0.792307692,0.314303965,0.153846154,2.615384615,1.076923077,0.461538462,15.53846154,0.745796901,2.307692308,96.53846154,6.968228829,13.84615385,1.297490418,0.265540498,0.11486294,12.17105408,2.338983706,1.613336308,14.66229729,3.862445044,1.213866073,2.192010721,0
mp-1044880,Zn(SnO2)2,Zn,-1.651332473,0.230050297,0,42,Materials_Project,0.285714286,0.571428571,0.142857143,0.955699891,23.14285714,18.54283513,4.285714286,52.4038,45.13991091,9.344142857,2.761428571,0.789365542,0.235714286,0.95,0.405321742,0.192857143,3.142857143,1.355261854,0.571428571,14.85714286,1.456862718,1.714285714,92.28571429,10.29166495,10.85714286,1.064084617,0.704198867,-0.088571429,11.22203614,2.83811361,1.342028143,14.41288948,6.037551127,1,2.428288295,10.00000082
mp-1044930,Mg(SnO2)2,Mg,-2.021159701,0.228433122,0.0448,42,Materials_Project,0.285714286,0.571428571,0.142857143,0.955699891,20.57142857,18.66132091,1.714285714,46.5318,45.73577148,3.472142857,2.712857143,0.863261495,0.187142857,0.971428571,0.429166254,0.214285714,3,1.309307341,0.428571429,13.42857143,4.746642207,0.285714286,91.85714286,10.99907232,10.42857143,1.092656045,0.636050782,-0.06,10.97232743,3.056447323,1.092319429,14.43553907,5.352614224,1,2.34268664,10.85463007
mp-1045693,Ca2Sn9O13,Ca,-1.837643875,0.235747129,0,24,Materials_Project,0.375,0.541666667,0.083333333,0.90698478,24.75,19.82265118,1.666666667,56.522425,48.60297951,3.339833333,2.681666667,0.861663443,0.083333333,1.01875,0.464312328,0.15,3.291666667,1.428261375,0.333333333,14.08333333,3.762940635,0.166666667,87.16666667,23.06994196,1.333333333,1.210508439,0.393522296,0.002045917,10.63984533,3.253566004,0.509429623,16.93653358,5.541729919,1,3.838411733,24.66132749
mp-1045725,Mg2Sn9O13,Mg,-1.886142718,0.105664958,0,24,Materials_Project,0.375,0.541666667,0.083333333,0.90698478,24.08333333,20.10372409,1,55.20800833,49.23904825,2.025416667,2.7075,0.814198225,0.109166667,0.99375,0.428250438,0.125,3.208333333,1.413599621,0.25,14.08333333,3.762940635,0.166666667,91.91666667,10.21402902,6.083333333,1.173462522,0.507765652,-0.035,10.76760204,3.099774391,0.637186333,16.13101406,5.683155088,1,1.926865177,33.87450717
mp-1045878,CaSn5O7,Ca,-1.818832715,0.220428396,0,26,Materials_Project,0.384615385,0.538461539,0.076923077,0.898137003,25.07692308,19.94786103,1.538461538,57.35567692,48.90546171,3.082923077,2.683076923,0.852935065,0.076923077,1.019230769,0.461410239,0.138461539,3.307692308,1.434981393,0.307692308,14.15384615,3.63415748,0.153846154,87.53846154,22.34214846,1.230769231,1.216360989,0.381708573,0.001888538,10.62762542,3.24502927,0.470242729,15.3950867,6.186476508,1,4.106265638,18.85016226
mp-1045943,ZnSnO2,Zn,-1.483076834,0.227223924,0,16,Materials_Project,0.25,0.5,0.25,1.039720771,24,17.49285568,7.5,54.02945,42.44301212,16.35225,2.6225,0.824814373,0.4125,1,0.40155946,0.3375,3.25,1.299038106,1,14.5,1.658312395,3,90.25,11.03120574,19,0.85357404,0.862619244,-0.155,10.99355625,2.722764989,2.34854925,17.05386497,5.260860962,2.726063955,3.451105373,11.12617869
mp-1045951,ZnSnO2,Zn,-1.511384046,0.198916712,1.1204,16,Materials_Project,0.25,0.5,0.25,1.039720771,24,17.49285568,7.5,54.02945,42.44301212,16.35225,2.6225,0.824814373,0.4125,1,0.40155946,0.3375,3.25,1.299038106,1,14.5,1.658312395,3,90.25,11.03120574,19,0.85357404,0.862619244,-0.155,10.99355625,2.722764989,2.34854925,16.22313909,5.530249846,2.572902447,2.682042272,3.200784481
